service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
63901,1,1,1,1,1,0,0,20210613,20210619
63902,1,1,1,1,0,0,0,20210613,20210619
63903,0,1,1,1,1,0,0,20210613,20210619
63904,0,1,1,1,1,0,0,20210613,20210619
63905,0,0,0,0,1,0,0,20210613,20210619
63906,0,0,0,0,0,1,0,20210613,20210619
63907,0,0,0,0,0,1,0,20210613,20210619
63908,0,0,0,0,0,0,1,20210613,20210619
63909,0,0,0,0,0,0,1,20210613,20210619
63910,0,0,1,1,1,1,0,20210613,20210619
63911,0,1,1,1,1,1,0,20210613,20210619
63912,0,1,1,1,1,1,0,20210613,20210619
63913,1,0,0,0,0,0,0,20210613,20210619
63914,1,0,0,0,0,0,0,20210613,20210619
63915,1,0,0,0,0,0,0,20210613,20210619
63916,0,1,0,0,0,0,0,20210613,20210619
63917,0,1,0,0,0,0,0,20210613,20210619
63918,1,0,1,1,1,0,0,20210613,20210619
63919,1,0,1,1,1,0,0,20210613,20210619
63920,0,0,1,0,0,0,0,20210613,20210619
63921,0,0,1,0,0,0,0,20210613,20210619
63922,1,1,0,1,1,0,0,20210613,20210619
63923,1,1,0,1,1,0,0,20210613,20210619
63924,0,0,0,1,0,0,0,20210613,20210619
63925,0,0,0,1,0,0,0,20210613,20210619
63926,1,1,1,0,1,0,0,20210613,20210619
63927,1,1,1,0,1,0,0,20210613,20210619
63928,0,1,1,0,0,0,0,20210613,20210619
63929,0,1,1,0,0,0,0,20210613,20210619
63930,1,0,0,1,1,0,0,20210613,20210619
63931,1,0,0,1,1,0,0,20210613,20210619
63932,1,1,0,0,1,0,0,20210613,20210619
63933,1,1,0,0,1,0,0,20210613,20210619
63934,1,1,1,1,1,0,1,20210613,20210619
63935,1,1,1,1,1,0,1,20210613,20210619
63936,1,1,1,1,1,1,0,20210613,20210619
63937,1,1,1,1,1,1,0,20210613,20210619
63938,1,1,1,1,1,1,0,20210613,20210619
63939,1,1,1,1,1,0,0,20210613,20210619
63940,1,1,1,1,0,0,1,20210613,20210619
63941,0,1,1,0,1,0,0,20210613,20210619
63942,0,1,1,0,1,0,0,20210613,20210619
64001,1,1,1,1,1,0,0,20210620,20210831
64002,1,1,1,1,0,0,0,20210620,20210831
64003,0,1,1,1,1,0,0,20210620,20210831
64004,0,1,1,1,1,0,0,20210620,20210831
64005,0,0,0,0,1,0,0,20210620,20210831
64006,0,0,0,0,0,1,0,20210620,20210831
64007,0,0,0,0,0,1,0,20210620,20210831
64008,0,0,0,0,0,0,1,20210620,20210831
64009,0,0,0,0,0,0,1,20210620,20210831
64010,0,0,1,1,1,1,0,20210620,20210831
64011,0,1,1,1,1,1,0,20210620,20210831
64012,0,1,1,1,1,1,0,20210620,20210831
64013,1,0,0,0,0,0,0,20210620,20210831
64014,1,0,0,0,0,0,0,20210620,20210831
64015,1,0,0,0,0,0,0,20210620,20210831
64016,0,1,0,0,0,0,0,20210620,20210831
64017,0,1,0,0,0,0,0,20210620,20210831
64018,1,0,1,1,1,0,0,20210620,20210831
64019,1,0,1,1,1,0,0,20210620,20210831
64020,0,0,1,0,0,0,0,20210620,20210831
64021,0,0,1,0,0,0,0,20210620,20210831
64022,1,1,0,1,1,0,0,20210620,20210831
64023,1,1,0,1,1,0,0,20210620,20210831
64024,0,0,0,1,0,0,0,20210620,20210831
64025,0,0,0,1,0,0,0,20210620,20210831
64026,1,1,1,0,1,0,0,20210620,20210831
64027,1,1,1,0,1,0,0,20210620,20210831
64028,0,1,1,0,0,0,0,20210620,20210831
64029,0,1,1,0,0,0,0,20210620,20210831
64030,1,0,0,1,1,0,0,20210620,20210831
64031,1,0,0,1,1,0,0,20210620,20210831
64032,1,1,0,0,1,0,0,20210620,20210831
64033,1,1,0,0,1,0,0,20210620,20210831
64034,1,1,1,1,1,0,1,20210620,20210831
64035,1,1,1,1,1,0,1,20210620,20210831
64036,1,1,1,1,1,1,0,20210620,20210831
64037,1,1,1,1,1,1,0,20210620,20210831
64038,1,1,1,1,1,1,0,20210620,20210831
64039,1,1,1,1,1,0,0,20210620,20210831
64040,1,1,1,1,0,0,1,20210620,20210831
64041,0,1,1,0,1,0,0,20210620,20210831
64042,0,1,1,0,1,0,0,20210620,20210831
106601,1,1,1,1,1,0,0,20210613,20210831
106602,1,1,1,1,0,0,0,20210613,20210831
106603,0,1,1,1,1,0,0,20210613,20210831
106604,0,1,1,1,1,0,0,20210613,20210831
106605,0,0,0,0,1,0,0,20210613,20210831
106606,0,0,0,0,0,1,0,20210613,20210831
106607,0,0,0,0,0,1,0,20210613,20210831
106608,0,0,0,0,0,0,1,20210613,20210831
106609,0,0,0,0,0,0,1,20210613,20210831
106610,0,0,1,1,1,1,0,20210613,20210831
106611,0,1,1,1,1,1,0,20210613,20210831
106612,0,1,1,1,1,1,0,20210613,20210831
106613,1,0,0,0,0,0,0,20210613,20210831
106614,1,0,0,0,0,0,0,20210613,20210831
106615,1,0,0,0,0,0,0,20210613,20210831
106616,0,1,0,0,0,0,0,20210613,20210831
106617,0,1,0,0,0,0,0,20210613,20210831
106618,1,0,1,1,1,0,0,20210613,20210831
106619,1,0,1,1,1,0,0,20210613,20210831
106620,0,0,1,0,0,0,0,20210613,20210831
106621,0,0,1,0,0,0,0,20210613,20210831
106622,1,1,0,1,1,0,0,20210613,20210831
106623,1,1,0,1,1,0,0,20210613,20210831
106624,0,0,0,1,0,0,0,20210613,20210831
106625,0,0,0,1,0,0,0,20210613,20210831
106626,1,1,1,0,1,0,0,20210613,20210831
106627,1,1,1,0,1,0,0,20210613,20210831
106628,0,1,1,0,0,0,0,20210613,20210831
106629,0,1,1,0,0,0,0,20210613,20210831
106630,1,0,0,1,1,0,0,20210613,20210831
106631,1,0,0,1,1,0,0,20210613,20210831
106632,1,1,0,0,1,0,0,20210613,20210831
106633,1,1,0,0,1,0,0,20210613,20210831
106634,1,1,1,1,1,0,1,20210613,20210831
106635,1,1,1,1,1,0,1,20210613,20210831
106636,1,1,1,1,1,1,0,20210613,20210831
106637,1,1,1,1,1,1,0,20210613,20210831
106638,1,1,1,1,1,1,0,20210613,20210831
106639,1,1,1,1,1,0,0,20210613,20210831
106640,1,1,1,1,0,0,1,20210613,20210831
106641,0,1,1,0,1,0,0,20210613,20210831
106642,0,1,1,0,1,0,0,20210613,20210831
206601,1,1,1,1,1,0,0,20210613,20210831
BLS-101,1,1,1,1,1,1,1,20200801,20211231
