service_id,date,exception_type
64001,20210704,2
64001,20210705,2
64002,20210704,2
64002,20210705,2
64003,20210704,2
64003,20210705,2
64004,20210705,2
64004,20210706,2
64005,20210704,2
64005,20210705,2
64006,20210704,2
64006,20210705,2
64007,20210705,2
64007,20210706,2
64008,20210705,2
64008,20210706,2
64009,20210704,1
64009,20210705,1
64010,20210705,2
64010,20210706,2
64011,20210704,2
64011,20210705,2
64012,20210705,2
64012,20210706,2
64013,20210704,2
64013,20210705,2
64014,20210705,2
64014,20210706,2
64015,20210705,1
64015,20210706,1
64016,20210704,2
64016,20210705,2
64017,20210705,2
64017,20210706,2
64018,20210704,2
64018,20210705,2
64019,20210705,2
64019,20210706,2
64020,20210704,2
64020,20210705,2
64021,20210705,2
64021,20210706,2
64022,20210704,2
64022,20210705,2
64023,20210705,2
64023,20210706,2
64024,20210704,2
64024,20210705,2
64025,20210705,2
64025,20210706,2
64026,20210704,2
64026,20210705,2
64027,20210705,2
64027,20210706,2
64028,20210704,2
64028,20210705,2
64029,20210705,2
64029,20210706,2
64030,20210704,2
64030,20210705,2
64031,20210705,2
64031,20210706,2
64032,20210704,2
64032,20210705,2
64033,20210705,2
64033,20210706,2
64034,20210704,2
64034,20210705,2
64035,20210705,2
64035,20210706,2
64036,20210704,2
64036,20210705,2
64037,20210705,2
64037,20210706,2
64038,20210705,1
64038,20210706,1
64039,20210705,1
64039,20210706,1
64040,20210704,1
64040,20210705,1
64041,20210704,2
64041,20210705,2
64042,20210705,2
64042,20210706,2
106601,20210704,2
106601,20210705,2
106602,20210704,2
106602,20210705,2
106603,20210704,2
106603,20210705,2
106604,20210705,2
106604,20210706,2
106605,20210704,2
106605,20210705,2
106606,20210704,2
106606,20210705,2
106607,20210705,2
106607,20210706,2
106608,20210705,2
106608,20210706,2
106609,20210704,1
106609,20210705,1
106610,20210705,2
106610,20210706,2
106611,20210704,2
106611,20210705,2
106612,20210705,2
106612,20210706,2
106613,20210704,2
106613,20210705,2
106614,20210705,2
106614,20210706,2
106615,20210705,1
106615,20210706,1
106616,20210704,2
106616,20210705,2
106617,20210705,2
106617,20210706,2
106618,20210704,2
106618,20210705,2
106619,20210705,2
106619,20210706,2
106620,20210704,2
106620,20210705,2
106621,20210705,2
106621,20210706,2
106622,20210704,2
106622,20210705,2
106623,20210705,2
106623,20210706,2
106624,20210704,2
106624,20210705,2
106625,20210705,2
106625,20210706,2
106626,20210704,2
106626,20210705,2
106627,20210705,2
106627,20210706,2
106628,20210704,2
106628,20210705,2
106629,20210705,2
106629,20210706,2
106630,20210704,2
106630,20210705,2
106631,20210705,2
106631,20210706,2
106632,20210704,2
106632,20210705,2
106633,20210705,2
106633,20210706,2
106634,20210704,2
106634,20210705,2
106635,20210705,2
106635,20210706,2
106636,20210704,2
106636,20210705,2
106637,20210705,2
106637,20210706,2
106638,20210705,1
106638,20210706,1
106639,20210705,1
106639,20210706,1
106640,20210704,1
106640,20210705,1
106641,20210704,2
106641,20210705,2
106642,20210705,2
106642,20210706,2
206601,20210704,2
206601,20210705,2
RLS-701,20210618,1
BRS-201,20210620,1
