trip_id,start_time,end_time,headway_secs
BLS-101-1,00:00:00,04:01:00,900
RLS-701-0,23:00:00,24:30:00,450
RLS-701-0,24:30:00,25:30:00,600
RLS-701-0,25:30:00,29:30:00,900
RLS-701-0,29:30:00,31:00:00,600
RLS-701-0,31:00:00,33:00:01,450
RLS-701-1,23:00:00,24:30:00,450
RLS-701-1,24:30:00,25:30:00,600
RLS-701-1,25:30:00,29:30:00,900
RLS-701-1,29:30:00,31:00:00,600
RLS-701-1,31:00:00,33:00:01,450
BRS-201-0,05:00:00,07:30:00,900
BRS-201-0,07:30:00,10:00:00,450
BRS-201-0,10:00:00,18:00:01,360
BRS-201-1,05:00:00,07:30:00,900
BRS-201-1,07:30:00,10:00:00,450
BRS-201-1,10:00:00,18:00:01,360
