from_stop_id,to_stop_id,transfer_type
30173,30173,0
30173,30175,0
30256,30258,0
30257,30258,0
30236,30233,0
30233,30234,0
30235,30236,0
30110,30109,0
30110,30110,0
30166,30110,0
30166,30165,0
30015,30165,0
30166,30166,0
30081,30270,0
30075,30375,0
30290,30072,0
30072,30072,0
30072,30073,0
30176,30174,0
30174,30174,0
30175,30173,0
30176,30175,0
30233,30233,0
30109,30014,0
30110,30014,0
30014,30014,0
30110,30015,0
30166,30014,0
30166,30015,0
30166,30109,0
30110,30165,0
30110,30166,0
30081,30080,0
30080,30081,0
30080,30270,0
30075,30075,0
30074,30075,0
30374,30074,0
30092,30092,0
30093,30093,0
30092,30093,0
30033,30032,0
30258,30256,0
30257,30257,0
30255,30257,0
30258,30257,0
30234,30234,0
30234,30236,0
30290,30050,0
30289,30289,0
30289,30290,0
30290,30290,0
30051,30290,0
30109,30015,0
30109,30109,0
30015,30110,0
30014,30110,0
30165,30110,0
30014,30165,0
30081,30081,0
30270,30081,0
30374,30374,0
30141,30142,0
30222,30222,0
30290,30073,0
30073,30289,0
30073,30290,0
30256,30255,0
30255,30256,0
30051,30051,0
30165,30015,0
30270,30080,0
30270,30269,0
30270,30270,0
30074,30074,0
30075,30374,0
30091,30090,0
30142,30141,0
30072,30290,0
30176,30173,0
30173,30174,0
30174,30175,0
30255,30258,0
30235,30233,0
30233,30235,0
30236,30234,0
30236,30236,0
30289,30050,0
30050,30051,0
30015,30014,0
30015,30015,0
30014,30015,0
30165,30014,0
30269,30269,0
30269,30270,0
30075,30074,0
30374,30075,0
30374,30375,0
30032,30033,0
30289,30072,0
30072,30289,0
30175,30175,0
30255,30255,0
30051,30050,0
30290,30289,0
30051,30289,0
30015,30109,0
30014,30109,0
30109,30110,0
30015,30166,0
30081,30269,0
30375,30074,0
30375,30374,0
30074,30374,0
30093,30092,0
30032,30032,0
30090,30091,0
30141,30141,0
30142,30142,0
30176,30176,0
30175,30176,0
30173,30176,0
30256,30256,0
30257,30255,0
30234,30233,0
30234,30235,0
30050,30050,0
30289,30051,0
30290,30051,0
30165,30109,0
30109,30165,0
30014,30166,0
30269,30080,0
30375,30075,0
30090,30090,0
30131,30131,0
30174,30176,0
30174,30173,0
30175,30174,0
30258,30258,0
30258,30255,0
30257,30256,0
30256,30257,0
30235,30235,0
30235,30234,0
30236,30235,0
30233,30236,0
30050,30289,0
30050,30290,0
30165,30165,0
30165,30166,0
30109,30166,0
30080,30080,0
30269,30081,0
30080,30269,0
30375,30375,0
30074,30375,0
30033,30033,0
30091,30091,0
30132,30131,0
30132,30132,0
30131,30132,0
30073,30072,0
30073,30073,0
30289,30073,0
